point_name,N_10,E_10
ABASA,24.439172222222222,123.25232222222222
ABASI,44.00031944444444,144.14275
ABECK,32.90374444444444,130.81844166666667
ABENO,34.59234166666667,135.69876944444445
ABKMA,37.09594722222222,140.42166666666665
ABUMI,32.74498055555556,131.59251111111112
ABURA,40.90555277777778,140.67445277777776
ACELA,36.120219444444444,140.32209722222223
ACORD,25.602747222222224,128.53069444444446
ACTIE,33.69936944444444,130.4873333333333
ACTOR,35.45944444444445,139.84035555555556
ACURE,35.75988888888889,140.45898055555554
ADDAN,26.68611111111111,128.3081777777778
ADDUM,34.891525,140.23908055555555
ADGOR,40.42468888888889,149.65071111111112
ADGUN,35.062425,136.02139722222225
ADKAK,33.9035,142.16330555555555
ADLEB,35.497708333333335,133.27632222222223
ADNAP,37.197466666666664,145.66631111111113
ADNOK,32.04303055555555,130.37844722222223
ADRIA,35.51578333333333,140.59286111111112
ADTRA,37.00767777777778,140.57246944444444
AGARI,24.517605555555555,123.19038333333334
AGATA,34.173177777777774,129.46328333333332
AGATE,34.47420555555556,135.3140277777778
AGEDI,44.166666666666664,155.09668333333335
AGIKA,30.003683333333335,131.441075
AGIMO,33.44343055555555,138.3128777777778
AGNES,35.41368333333333,139.87273333333334
AGPUK,34.485641666666666,136.08091666666667
AGRIS,36.42075,139.9425361111111
AGRIT,32.77548888888889,129.31346666666667
AGRUM,32.845330555555556,132.92711666666665
AIBAR,24.52823611111111,124.37767777777778
AIBIS,37.95998055555556,138.9903222222222
AIDAH,35.450813888888895,139.85640277777776
AIKOK,42.643877777777774,143.26334722222222
AILEY,33.23441666666667,132.6018222222222
AINOH,32.771425,130.104675
AINOS,33.68320555555555,130.38414444444444
AIRAH,31.235722222222222,131.10425
AIRIS,41.71321666666667,140.95761666666667
AIZEN,34.023325,134.7348861111111
AIZUH,37.761208333333336,139.7235611111111
AJISE,31.97974722222222,130.61645277777777
AKAGI,36.39120277777778,139.69896666666668
AKANA,34.96346388888889,132.8179861111111
AKANN,43.153213888888885,144.13399166666665
AKAOH,34.69473055555555,133.75970833333332
AKARI,39.721516666666666,141.1384138888889
AKASE,30.009527777777777,130.32147777777777
AKASI,34.58962777777778,134.75501666666668
AKAYU,38.068738888888895,139.76139166666667
AKESI,42.55455555555555,144.0732138888889
AKIAS,38.61719444444444,136.90104722222222
AKIBA,25.892286111111112,131.29912777777778
AKISU,47.550725,161.33333333333334
AKITA,39.71156666666667,140.06230833333333
AKLEM,32.59800555555556,131.24101666666667
AKNED,38.72280277777778,139.91088055555556
AKRIT,36.06805555555556,142.10805555555555
AKSEL,34.67764444444444,139.857475
AKSUN,45.752075,140.90445833333334
AKTAP,30.81166111111111,133.73401666666666
AKTIL,37.35006111111111,140.18405555555555
AKUBI,32.950475000000004,138.65786944444446
AKUVU,34.858466666666665,136.87904444444445
AKVAS,29.58699722222222,127.46468055555556
ALBAT,33.36450277777778,135.4415138888889
ALBAX,23.56940833333333,125.32558333333333
ALDEM,31.036191666666667,133.56901666666667
ALDEN,34.861422222222224,140.25146944444444
ALDER,27.478816666666663,128.741525
ALFET,33.667075,132.0020027777778
ALGES,36.79581944444444,144.33828333333335
ALICE,40.744994444444444,143.59675000000001
ALISA,34.51184166666667,134.13447222222223
ALLAN,34.23448333333334,134.9578611111111
ALLIE,35.44373611111111,139.85147777777777
ALPUS,35.44916666666666,138.29694444444445
ALTAI,30.007686111111113,130.36176388888887
ALUYO,32.76706111111111,135.12204722222222
ALVIS,34.28048611111111,135.02595000000002
AMAGA,33.286652777777775,131.03990277777777
AMAGO,36.33059166666667,136.29539444444444
AMAHA,35.21346944444445,139.90051944444446
AMAKO,35.34905555555556,133.17230555555554
AMAMI,28.443669444444446,129.58406666666667
AMAOH,33.46917777777778,130.1666277777778
AMARB,35.637544444444444,134.79499444444446
